Name,URL
"Core Solutions of Microsoft Lync Server 2013: (01) Architecture and Design, Part 1",http://media.ch9.ms/ch9/3202/dad47cb8-e363-4f28-8b49-0de71a8d3202/Lync336M01_high.mp4
"Core Solutions of Microsoft Lync Server 2013: (02) Architecture and Design, Part 2",http://media.ch9.ms/ch9/2310/47c972cb-ecab-43de-8f0c-12d274dd2310/Lync336M02_high.mp4
Core Solutions of Microsoft Lync Server 2013: (03) Configuring Users and Rights,http://media.ch9.ms/ch9/c6c8/9993e01e-3b0d-4057-a245-d7142a0fc6c8/Lync336M03_high.mp4
Core Solutions of Microsoft Lync Server 2013: (04) Client and Devices,http://media.ch9.ms/ch9/4278/efe2dc3f-62b9-496b-8ae8-a57f91ef4278/Lync336M04_high.mp4
Core Solutions of Microsoft Lync Server 2013: (05) Conferencing,http://media.ch9.ms/ch9/3012/b333728c-c86d-4c74-9475-b8259f323012/Lync336M05_high.mp4
Core Solutions of Microsoft Lync Server 2013: (05a) DEMO-Conferencing,http://media.ch9.ms/ch9/3a5a/b96ea404-465a-4bdb-afb5-025b24a13a5a/Lync336M05a_high.mp4
Core Solutions of Microsoft Lync Server 2013: (06) External Access,http://media.ch9.ms/ch9/71b2/6df1205e-dcc7-40b9-add2-aa91137471b2/Lync336M06_high.mp4
Core Solutions of Microsoft Lync Server 2013: (07) Persistent Chat,http://media.ch9.ms/ch9/2020/e9f66795-c219-4d22-949d-6f523b9d2020/Lync336M07_high.mp4
Core Solutions of Microsoft Lync Server 2013: (08) Archiving and Monitoring,http://media.ch9.ms/ch9/963a/812e908b-8bfa-4561-9200-cc514e62963a/Lync336M08_high.mp4
Core Solutions of Microsoft Lync Server 2013: (08a) DEMO-Archiving and Monitoring,http://media.ch9.ms/ch9/c283/55ebac57-60ee-43c2-a32b-17acb75ac283/Lync336M08a_high.mp4
Core Solutions of Microsoft Lync Server 2013: (09) Administration and Maintenance,http://media.ch9.ms/ch9/0370/31859a38-3f5a-4d58-91fd-e303ef700370/Lync336M09_high.mp4
Core Solutions of Microsoft Lync Server 2013: (10) High Availability,http://media.ch9.ms/ch9/a82b/3bc77b6f-f3ff-4bc2-b7f1-3600ab15a82b/Lync336M10_high.mp4
Core Solutions of Microsoft Lync Server 2013: (11) Disaster Recovery,http://media.ch9.ms/ch9/48b2/bbf5dc3b-adef-4af9-9fab-33a48b2e48b2/Lync336M11_high.mp4
Core Solutions of Microsoft Lync Server 2013: (11a) DEMO-Disaster Recovery,http://media.ch9.ms/ch9/1b47/7bc0414c-555c-41ac-8ebd-d909e5771b47/Lync336M11a_high.mp4
Core Solutions of Microsoft Lync Server 2013: (12) Migration,http://media.ch9.ms/ch9/3556/777d502a-e564-4b46-ad9a-08af73043556/Lync336M12_high.mp4
