Code,Name
OUC-B323,Monitoring Microsoft Lync Server 2013
OUC-B206,A Look Inside Microsoft Office 365
OUC-B215,"Understanding Compliance in Microsoft Exchange, SharePoint, and Office"
OUC-B202,Choosing the Right Cloud Service
OUC-B303,Lync 2013 HA and DR
OUC-B334,Migration and Coexistence Lync 2013
OUC-B340,O365 Deployment
OUC-B327,Lync Hybrid Scenarios
OUC-B211,O365 Identity Management
OUC-B203,Office Web Apps
OUC-B305,Network Requirements Lync 2013
OUC-B333,Lync 2013 Developer Platform
OUC-B324,Planning and Deploying EV
OUC-B326,Virtualizing Exchange 2013
OUC-B332,Planning and Deploying Conferencing
OUC-B405,Lync UC Web API UCWA
OUC-B328,Lync 2013 Edge Server
OUC-B331,Voice Interop Fundamentals
OUC-B214,Secrets of Exchange UM
OUC-B330,Lync Mobile Devices
OUC-B322,O365 PowerShell
OUC-B401,Lync 2013 Dial Plan Voice Routing Deep Dive
OUC-B335,Scripting and Automation Lync
OUC-B204,Network Design Lync
OUC-B222,Lync Room System
OUC-B321,Lync 2013 Archiving
