Code,Name
ATC-B201,1984  21st Century Security Surveillance vs. the Erosion of Freedom
ATC-B202,A Journey to the Dark Side of Social Networking
ATC-B203,Architecting a Cloud Infrastructure  A Practical Design Scenario
ATC-B204,Best Practices for Building Your Strategy for a Private Cloud
ATC-B205,Building Resilient Services  The Journey to Failure Mode and Effects Analysis (FMEA) at Microsoft
ATC-B206,Demystifying Devices and Services
ATC-B207,Envisioning the Modern Datacenter
ATC-B209,Identity Infrastructure Fundamentals and Essential Capabilities
ATC-B210,Pass the Hash and Other Credential Theft and Reuse  Preventing Lateral Movement and Privilege Escalation
ATC-B211,Patterns and Practices for the Hybrid World
ATC-B212,The Cloud Service Provider Architecture
ATC-B213,The Cloud  Making the Move to a Hybrid World
ATC-B214,Win with Private Cloud  How to Drive Down TCO for Datacenter Applications
ATC-B220,Patterns of Cloud Integration
ATC-B301,Adventures in Underland  What Passwords Do When No One Is Watching
ATC-B302,"APTs  Cybercrime, Cyber Attacks, Warfare and Threats Exposed"
ATC-B303,Bridging the Gap  Securely Connecting Windows Azure and Private Clouds
ATC-B306,Cybercrime  The 2013 Ultimate Survival Guide
ATC-B307,Hackers (Not) Halted (repeats on 6 6 at 2 45pm)
ATC-B307-R,Hackers (Not) Halted (repeated from 6 5 at 5pm)
ATC-B308,License to Kill  Malware Hunting with the Sysinternals Tools
ATC-B309,Live Demonstration  Hacker Tools You Should Know and Worry About
ATC-B312,Security Experts Panel Discussion  Security for Hackers (BYOD)
ATC-B313,Sysinternals Primer  TechEd 2013 Edition
ATC-B314,The Inside Man  Surviving the Ultimate Cyber Threat
ATC-B315,Think You Can Hack SharePoint 
ATC-B316,Win in the Cloud Using Transparency and Trust
ATC-B318,Windows 8 Security Internals
BOF-DEV03,CQRS Command and Query Responsibility Segregation
BOF-DEV08,Microsoft Visual Studio Team Foundation Server Tips & Tricks
BOF-DEV10,NHibernate and Entity Framework  Who?s the Big Chief 
BOF-DEV12,Open Data?Protocol?(OData) and the New OASIS Standard
BOF-DEV14,The Challenges and Opportunities of Cross-Platform Cross-Device App Development
BOF-DEV15,Line-of-Business (LOB) Apps in Windows 8
BOF-DEV20,Towards a Lightweight Integration Bus
BOF-DEV26,Building a Company Hub for Windows Phone 8
BOF-DEV33,Is Creating a Multi-Platform Multi-Device Application Truly a Challenge 
BOF-IPT11,"What?s New in Microsoft Project 2013, Project Server 2013 and Project Online  A Guided Discovery"
BOF-ITP01,The Evolving Role of Microsoft Technologies in Higher Education
BOF-ITP02,Hybrid Cloud Management Roundtable
BOF-ITP04,PowerScripting  Windows PowerShell Best Practices from the Field with The Scripting Guy
BOF-ITP05,Getting Started with Windows PowerShell
BOF-ITP05-R,Getting Started with Windows PowerShell (repeated from 6 3 at 4 45 pm)
BOF-ITP06,The Ever Expanding Roles and Responsibilities of an Exchange Administrator
BOF-ITP07,Marketing (Without a Marketing Team)
BOF-ITP09,Microsoft System Center Reporting
BOF-ITP13,Windows PowerShell and Microsoft SQL Server
BOF-ITP17,Microsoft System Center Tips from the Field
BOF-ITP21,How Far Can You Push Tabular 
BOF-ITP22,Microsoft System Center 2012 SP1 - Virtual Machine Manager Services and Service Templates in the Real World   An Interactive Discussion
BOF-ITP23,Practical PowerShell. Best Windows PowerShell Practices for the Real World
BOF-ITP24,Smoothing the Kinks in the User Experience
BOF-ITP25,System Management for Specific Applications  How Are Multiple Teams Working Together 
BOF-ITP29,Microsoft System Center for the Provider
BOF-ITP30,Next Generation Datacenters 
BOF-ITP31,Cloud and Datacenter Management Roundtable
BOF-ITP40,Why the Cloud Is So Important for the SME
C9-01,Live Press Conference
C9-02,Channel 9 Live at TechEd
C9-03,Developer Keynote Updates
C9-04,Windows Azure Service Pack
C9-05,.NET & Modern Line-Of-Business Apps
C9-06,What's New in Windows Server 2012 R2
C9-07,What's New in Windows Server 2012 R2 Hyper-V
C9-08,Whats New in Microsoft System Center 2012 R2 - Virtual Machine Manager
C9-09,Microsoft ASP.NET
C9-10,Windows 8 Updates
C9-11,Upgrading Windows Server
C9-12,Windows Enterprise Client
C9-13,Windows Server 2012 R2 Hosters
C9-14,Storage Changes in Windows Server 2012 R2
C9-15,Windows Phone 8
C9-16,Microsoft System Center 2012 R2 Automation
C9-17,Why Server Core
C9-18,Entity Framework 6
C9-19,Windows RT in the Enterprise
C9-20,Best Practices with Async
C9-21,.NET and Domain-Driven Design
C9-22,.NET and Event-Driven Application Development and CQRS
C9-23,Defrag Tools Live
C9-24,Windows Server Networking tools
C9-25,Toyota Racing
DBI-B201,Lap Around Windows Azure SQL Database and Microsoft SQL Server in Windows Azure Virtual Machines
DBI-B202,Lean and Mean  Running Microsoft SQL Server on Windows Server Core 
DBI-B203,Maintain Microsoft SQL Server System and Performance Data with Windows PowerShell
DBI-B204,"Microsoft SQL Server In-Memory OLTP  Overview of Project ""Hekaton"""
DBI-B205,Microsoft SQL Server Management Basics for Non-DBAs
DBI-B206,"Private Cloud - Better Together  Microsoft SQL Server 2012, Windows Server 2012 and System Center 2012 "
DBI-B207,Pushing Data to and from the Cloud with SQL Azure Data Sync
DBI-B208,Self-Service Business Intelligence Governance
DBI-B209,Dynamite Data Visualization with Power View in Microsoft Excel
DBI-B210,BI Power Hour
DBI-B215,Overview of Business Intelligence in Microsoft Office and SharePoint 2013
DBI-B220,Effective Data Visualization
DBI-B221,HDInsight  Introduction to Hadoop on Windows
DBI-B225,"Microsoft Data Explorer for Excel  Discover, Combine, and Refine your Data"
DBI-B302,Indexing Fundamentals for Microsoft SQL Server
DBI-B303,Microsoft PowerPivot Excel 2013 in Action 
DBI-B304,Large-Scale Data Warehousing and Big Data with Microsoft SQL Server Parallel Data Warehouse V2
DBI-B305,Microsoft SQL Server Database Development with SQL Server Data Tools for Visual Studio 2012
DBI-B306,Microsoft SQL Server High Availability and Disaster Recovery on Windows Azure
DBI-B307,"Microsoft SQL Server In-Memory OLTP Project ""Hekaton""  App Dev Deep Dive"
DBI-B308,"Microsoft SQL Server In-Memory OLTP Project ""Hekaton""  Management Deep Dive"
DBI-B309,Microsoft SQL Server Transaction Log Internals
DBI-B310,Windows Azure Virtual Machines and SQL Unplugged
DBI-B311,Performance Tuning Microsoft SQL Server in Windows Azure Virtual Machines
DBI-B312,Planning and Deploying a Managed Self-Service BI Environment 
DBI-B313,Polybase  Hadoop Integration in SQL Server PDW V2 
DBI-B314,Protecting Your Data in Windows Azure SQL Database
DBI-B315,Querying in DAX
DBI-B316,Running BI Workloads on Windows Azure Virtual Machines
DBI-B317,Microsoft SQL Server Future and Features
DBI-B318,SQLCAT  Microsoft SQL Server 2012 AlwaysOn HA DR Customer Panel - Mission Critical Deployments and Lessons Learned
DBI-B319,The DBAs Worst Nightmares
DBI-B320,Tips and Tricks for Building Rich Reports in Microsoft SQL Server 2012 Reporting Services
DBI-B321,Using Power View with Multidimensional Models
DBI-B322,What's New for Columnstore Indexes and Batch Mode Processing
DBI-B323,Windows Azure SQL Database for the DBA
DBI-B325,Do You Have Big Data  (Most Likely!)
DBI-B326,Deploying Microsoft SQL Server Reporting Services in SharePoint Mode  Why and How
DBI-B328,Delivering KPIs with Microsoft SQL Server Analysis Services
DBI-B329,"Overview, Best Practices and Lessons Learned on Microsoft SQL Server in Windows Azure Virtual Machines"
DBI-B330,Cloud Optimizing T-SQL  What You Need to Know if You Use SQL Database or Microsoft SQL Server 2012
DBI-B331,Developing and Managing a BI Semantic Tabular Model in Microsoft SQL Server 2012 Analysis Services
DBI-B334,Data Management in Microsoft HDInsight  How to Move and Store Your Data
DBI-B336,Big Data Analytics with Microsoft Excel 2013
DBI-B337,Query Performance Tuning Techniques For Windows Azure SQL Database
DBI-B338,Lap Around Non-Relational Datastores on Windows Azure
DBI-B339,Predictive Analytics with Microsoft Big Data
DBI-B395,"Any Data, Any Size  Architecting Breakthrough Performance with Mission Critical Solutions Built on HP AppSystem for Parallel Data Warehouse"
DBI-B401,Enriching Big Data for Analysis
DBI-B404,"Data, Faster  Microsoft SQL Server Performance Techniques with SQLCLR"
DBI-B405,Deep Inside the Microsoft SQL Server Integration Services Server
DBI-H201,Creating a PowerPivot Workbook in Microsoft Excel 2013
DBI-H202,Creating a Microsoft SQL Server Reporting Services Report Based on a Tabular BI Semantic Model
DBI-H203,Creating a PerformancePoint Services Dashboard Based on a Microsoft SQL Server 2012 BI Semantic Model
DBI-H204,Optimizing a Microsoft SQL Server 2012 Tabular BI Semantic Model
DBI-H205,Developing a Microsoft SQL Server 2012 Tabular BI Semantic Model Using SQL Server Data Tools
DBI-H206,Exploring Power View in Microsoft SQL Server 2012
DBI-H207,Implementing Transparent Database Encryption
DBI-H208,Installing Microsoft SQL Server 2012 on Windows 2012 Server Core
DBI-H209,Exploring New T-SQL Features in Microsoft SQL Server 2012
DBI-H210,Installing Microsoft SQL Server 2012 on Windows Server 2012
DBI-H211,"Exploring Microsoft SQL Server 2012 Project Codename ""Hekaton"""
DBI-H212,Exploring Microsoft SQL Server Data Tools in Visual Studio 2012
DBI-H213,Upgrading to Microsoft SQL Server 2012 from SQL Server 2005 and 2008
DBI-H214,Introduction to Microsoft SQL Server 2012 AlwaysOn Availability Groups
DBI-H215,Data Platform Showcase on Microsoft SQL Server 2012
DBI-H216,Implementing and Managing AlwaysOn Availability Groups
DBI-H300,Exploring Data Explorer in Microsoft Excel 2013
DBI-H301,"Data Visualization with ""Geoflow"" in Microsoft Excel 2013"
DEV-B201,Design or Die  The Challenge to the Microsoft Developer Ecosystem
DEV-B202,Scrum Under a Waterfall
DEV-B203,TypeScript  Scaling Up JavaScript
DEV-B204,Positioning Microsoft Development Technologies for Custom Application Development
DEV-B206,Tips and Tricks for Building Real-World International Windows Store Apps
DEV-B207,Understanding Dependency Injection and Those Pesky Containers
DEV-B208,Getting a Designer Developer Workflow That Works
DEV-B209,"Serious Web Services  Windows Communication Foundation (WCF), Web API, OData, and More"
DEV-B212,Agile Software Development with Microsoft Visual Studio ALM 
DEV-B215,Taking Application Lifecycle Management to the Cloud with the Team Foundation Service
DEV-B215-R,Taking Application Lifecycle Management to the Cloud with the Team Foundation Service (repeated from 6 4 at 8 30 am)
DEV-B218,Partner Solutions for Modernizing Your .NET Applications
DEV-B301,20 Modern Visual C++ Best Practices 
DEV-B302,Microsoft ASP.NET SignalR  The Real-Time Web Made Simple
DEV-B304,Building an MVVM-Based Architecture That Works for Windows Store Apps
DEV-B305,Building Apps with the Kinect for Windows SDK
DEV-B307,"Building Modern, HTML5-Based Business Apps on Windows Azure with Microsoft Visual Studio LightSwitch"
DEV-B307-R,"Building Modern, HTML5-Based Business Apps on Windows Azure with Microsoft Visual Studio LightSwitch (repeated from 6 4 at 1 30)"
DEV-B308,Building OData Services with ASP.NET Web API
DEV-B309,Design Guidance for Windows Store Line-of-Business Apps
DEV-B310,Designing Apps for the Windows Store
DEV-B311,Developing Core Business Applications with Domain-Driven Design (DDD) and Microsoft .NET
DEV-B312,DevOps  Increasing Application Lifecycle Efficiencies with Microsoft Visual Studio and System Center
DEV-B313,Diagnostic Tips and Tricks for JavaScript-Based Windows Store Applications Using Visual Studio
DEV-B314,"Microsoft ASP.NET, Web, and Cloud Tools Preview "
