"Code","Name"
"ATC-B201","1984  21st Century Security Surveillance vs. the Erosion of Freedom"
"ATC-B202","A Journey to the Dark Side of Social Networking"
"ATC-B204","Best Practices for Building Your Strategy for a Private Cloud"
"ATC-B206","Demystifying Devices and Services"
"ATC-B207","Envisioning the Modern Datacenter"
"ATC-B210","Pass the Hash and Other Credential Theft and Reuse  Preventing Lateral Movement and Privilege Escalation"
"ATC-B212","The Cloud Service Provider Architecture"
"ATC-B213","The Cloud  Making the Move to a Hybrid World"
"ATC-B214","Win with Private Cloud  How to Drive Down TCO for Datacenter Applications"
"ATC-B216","Planning the Transformation  From Virtualization to Hybrid Cloud"
"ATC-B224","Understanding Access and Information Protection Architecture"
"ATC-B301","Adventures in Underland  What Passwords Do When No One Is Watching"
"ATC-B302","APTs  Cybercrime, Cyber Attacks, Warfare and Threats Exposed"
"ATC-B305","Cybercrime  Practical Overview"
"ATC-B306","Cybercrime  The 2013 Ultimate Survival Guide"
"ATC-B307","Hackers (Not) Halted (repeats on 6 27 at 5 pm)"
"ATC-B307-R","Hackers (Not) Halted (repeated from 6 27 at 12 00)"
"ATC-B308","License to Kill  Malware Hunting with the Sysinternals Tools"
"ATC-B309","Live Demonstration  Hacker Tools You Should Know and Worry About"
"ATC-B312","Security Experts Panel Discussion  Security for Hackers (BYOD)"
"ATC-B313","Sysinternals Primer  TechEd 2013 Edition"
"ATC-B314","The Inside Man  Surviving the Ultimate Cyber Threat"
"ATC-B316","Win in the Cloud Using Transparency and Trust"
"ATC-B363","Core Networking  The Heart of a Modern Datacenter"
"DBI-B201","Lap Around Windows Azure SQL Database and Microsoft SQL Server in Windows Azure Virtual Machines"
"DBI-B202","Lean and Mean  Running Microsoft SQL Server on Windows Server Core "
"DBI-B203","Maintain Microsoft SQL Server System and Performance Data with Windows PowerShell"
"DBI-B204","Microsoft SQL Server 2014 In-Memory OLTP  Overview"
"DBI-B205","Microsoft SQL Server Management Basics for Non-DBAs"
"DBI-B206","Private Cloud - Better Together  Microsoft SQL Server 2012, Windows Server 2012 and System Center 2012 "
"DBI-B208","Self-Service Business Intelligence Governance"
"DBI-B209","Dynamite Data Visualization with Power View in Microsoft Excel"
"DBI-B210","BI Power Hour"
"DBI-B211","Any Data, Any Size   Architecting Breakthrough Performance and Scalability with Mission Critical Solutions Built on HP AppSystem for Microsoft Parallel Data Warehouse"
"DBI-B215","Overview of Business Intelligence in Microsoft Office and SharePoint 2013"
"DBI-B225","Microsoft ???Data Explorer??? for Excel  Discover, Combine, and Refine your Data"
"DBI-B303","Microsoft PowerPivot Excel 2013 in Action "
"DBI-B306","Microsoft SQL Server High Availability and Disaster Recovery on Windows Azure"
"DBI-B307","Microsoft SQL Server 2014 In-Memory OLTP  DB Developer Deep Dive "
"DBI-B308","Microsoft SQL Server 2014 In-Memory OLTP  Management Deep Dive"
"DBI-B311","Performance Tuning Microsoft SQL Server in Windows Azure Virtual Machines"
"DBI-B312","Planning and Deploying a Managed Self-Service BI Environment "
"DBI-B315","Querying in DAX"
"DBI-B317","Microsoft SQL Server 2014  Future and Features"
"DBI-B321","Using Power View with Multidimensional Models"
"DBI-B322","What???s New for Columnstore Indexes and Batch Mode Processing"
"DBI-B323","Windows Azure SQL Database for the DBA"
"DBI-B325","Do You Have Big Data  (Most Likely!)"
"DBI-B326","Deploying Microsoft SQL Server Reporting Services in SharePoint Mode  Why and How"
"DBI-B327","Back to Indexes  The Original Culprit"
"DBI-B329","Overview, Best Practices and Lessons Learned on Microsoft SQL Server in Windows Azure Virtual Machines"
"DBI-B330","Cloud Optimizing T-SQL  What You Need to Know If You Use SQL Database or Microsoft SQL Server 2012"
"DBI-B331","Developing and Managing a BI Semantic Tabular Model in Microsoft SQL Server 2012 Analysis Services"
"DBI-B334","Data Management in Microsoft HDInsight  How to Move and Store Your Data"
"DBI-B335","Building BI Solutions with Microsoft SQL Server Parallel Data Warehouse (PDW)"
"DBI-B336","Big Data Analytics with Microsoft Excel 2013"
"DBI-B337","Query Performance Tuning Techniques For Windows Azure SQL Database"
"DBI-B340","Taking Your Application Design to the Next Level by Using SQL Server 2012 Data Mining"
"DBI-B341","Microsoft SQL Server Database Development with SQL Server Data Tools for Visual Studio 2012"
"DBI-B401","Enriching Big Data for Analysis"
"DBI-B403","Fraud Detection  Notes from the Field"
"DBI-H201","Creating a PowerPivot Workbook in Microsoft Excel 2013"
"DBI-H202","Creating a Microsoft SQL Server Reporting Services Report Based on a Tabular BI Semantic Model"
"DBI-H203","Creating a PerformancePoint Services Dashboard Based on a Microsoft SQL Server 2012 BI Semantic Model"
"DBI-H204","Optimizing a Microsoft SQL Server 2012 Tabular BI Semantic Model"
"DBI-H205","Developing a Microsoft SQL Server 2012 Tabular BI Semantic Model Using SQL Server Data Tools"
"DBI-H206","Exploring Power View in Microsoft SQL Server 2012"
"DBI-H207","Implementing Transparent Database Encryption"
"DBI-H208","Installing Microsoft SQL Server 2012 on Windows 2012 Server Core"
"DBI-H209","Exploring New T-SQL Features in Microsoft SQL Server 2012"
"DBI-H210","Installing Microsoft SQL Server 2012 on Windows Server 2012"
"DBI-H212","Exploring Microsoft SQL Server Data Tools in Visual Studio 2012"
"DBI-H213","Upgrading to Microsoft SQL Server 2012 from SQL Server 2005 and 2008"
"DBI-H214","Introduction to Microsoft SQL Server 2012 AlwaysOn Availability Groups"
"DBI-H215","Data Platform Showcase on Microsoft SQL Server 2012"
"DBI-H216","Implementing and Managing AlwaysOn Availability Groups"
"DBI-H300","Exploring Data Explorer in Microsoft Excel 2013"
"DBI-H301","Data Visualization with ""Geoflow"" in Microsoft Excel 2013"
"DEV-B204","Positioning Microsoft Development Technologies for Custom Application Development"
"DEV-B205","From Continuous Integration to Continuous Feedback Using Microsoft Visual Studio Team Foundation Server 2012"
"DEV-B206","Tips and Tricks for Building Real-World International Windows Store Apps"
"DEV-B208","Getting a Designer Developer Workflow That Works"
"DEV-B212","Agile Software Development with Microsoft Visual Studio ALM"
"DEV-B215","Taking Application Lifecycle Management to the Cloud with the Team Foundation Service"
"DEV-B216","BUILD 2013 Recap"
"DEV-B218","Partner Solutions for Modernizing Your .NET Applications"
"DEV-B301","20 Modern Visual C++ Best Practices "
"DEV-B302","Microsoft ASP.NET SignalR  The Real-Time Web Made Simple"
"DEV-B304","Building an MVVM-Based Architecture That Works for Windows Store Apps"
"DEV-B307","Building Modern, HTML5-Based Business Apps on Windows Azure with Microsoft Visual Studio LightSwitch"
"DEV-B309","Design Guidance for Windows Store Line-of-Business Apps"
"DEV-B311","Developing Core Business Applications with Domain-Driven Design (DDD) and Microsoft .NET"
"DEV-B312","DevOps  Increasing Application Lifecycle Efficiencies with Microsoft Visual Studio and System Center"
"DEV-B313","Diagnostic Tips and Tricks for JavaScript-Based Windows Store Applications Using Visual Studio"
"DEV-B314","Microsoft ASP.NET, Web, and Cloud Tools Preview"
"DEV-B317","Easy Async for Windows Store Apps in Microsoft Visual C# and Microsoft Visual Basic"
"DEV-B318","Creating Async Libraries That Are Modular, Reusable and Fast, in Microsoft Visual C# and Visual Basic"
"DEV-B319","Three Essential Tips for Using Async in Microsoft Visual C# and Visual Basic"
"DEV-B321","Improving Developer Productivity and Software Quality with Microsoft Visual Studio Application Lifecycle Tools"
"DEV-B322","DirectX Graphics Development with Microsoft Visual Studio 2012"
"DEV-B323","Deep Dive into the Team Foundation Server Agile Planning Tools"
"DEV-B324","Build Data-Rich Solutions Faster with Microsoft Visual F#"
"DEV-B325","Modernizing WPF Line-of-Business Applications"
"DEV-B327","Software Testing with Microsoft Test Manager 2012 and Lab Management 2012"
"DEV-B330","Flexible Source Control with Team Foundation Service and Git"
"DEV-B331","Brownfield Development  Taming Legacy Code with Better Unit Testing and Microsoft Fakes"
"DEV-B333","Essential Truths Everyone Should Know about Performance in a Large Managed Codebase"
"DEV-B335","Entity Framework 6  Database Access Anywhere, Easily"
"DEV-B335-R","Entity Framework 6  Database Access Anywhere, Easily (repeated from 25 June, 15 15)"
"DEV-B337","How to Build ASP.NET Web Applications Using Async"
"DEV-B341","Master Navigation in Windows Store Apps"
"DEV-B342","Building Modern, HTML5-based Business Apps for SharePoint 2013 with Visual Studio LightSwitch"
"DEV-B343","Real Experiences and Architectural Domain-Driven Design Patterns Applied on Microsoft .NET Development"
"DEV-B353","Visual Studio Tips and Tricks"
"DEV-B354","Cloud-Powered Web Apps in Minutes with Windows Azure Mobile Services"
"DEV-B355","Web Deployment Done Right"
"DEV-B357","Tiles, Toasts, and Notifications in Windows Store Apps"
"DEV-B358","Building Windows Store Line-of-Business Applications"
"DEV-B360","ASP.NET Web API  Web Services for Websites, Modern Apps, and Mobile Apps"
"DEV-B360-R","ASP.NET Web API  Web Services for Websites, Modern Apps, and Mobile Apps (repeated from 28 June, 8 30)"
"DEV-B380","Continuous Deployment with Team Foundation Service and Team Foundation Server 2012"
"DEV-B402","Advanced Debugging of ASP.NET Applications with Visual Studio 2012"
"DEV-B403","Under the Hood of Windows 8 Background APIs"
"DEV-H301","Lap Around the Microsoft Visual Studio 2012 Development Environment"
"DEV-H302","Asynchronous Programming in the Microsoft .NET Framework 4.5"
"DEV-H303","Build RESTful APIs with ASP.NET Web API"
"DEV-H304","Building JavaScript and HTML5 Mobile Applications with Microsoft Visual Studio LightSwitch"
"DEV-H305","Building Workflows with the State Machine Activity"
"DEV-H306","Developing SharePoint Applications Using Microsoft Visual Studio LightSwitch"
"DEV-H307","Integrating Development and Operations with Microsoft Visual Studio Team Foundation Server 2012 and System Center 2012 - Operations Manager"
"DEV-H308","Agile Project Management in Microsoft Visual Studio Team Foundation Server 2012"
"DEV-H309","Building the Right Software  Generating Storyboards and Collecting Stakeholder Feedback with Microsoft Visual Studio 2012"
"DEV-H310","Diagnosing Issues in Production with IntelliTrace and Microsoft Visual Studio 2012"
"DEV-H311","Unit Testing, Code Coverage, and Code Clone Analysis with Microsoft Visual Studio 2012"
"DEV-H312","Making Developers More Productive with Microsoft Visual Studio Team Foundation Server 2012"
"DEV-H313","Exploratory Testing and Other Enhancements in Microsoft Test Manager 2012"
"DEV-H314","Introduction to PreEmptive Analytics"
"DEV-H315","Testing and Debugging Microsoft SharePoint 2010 Applications with Visual Studio 2012"
"DEV-H316","Authoring and Running Manual Tests Using Microsoft Test Manager 2012"
"DEV-H317","Introduction to Coded UI Tests with Microsoft Visual Studio Ultimate 2012"
"DEV-H319","Using Blend to Build Windows Store Apps in HTML"
"DEV-H321","Using Microsoft ADO.NET Entity Framework 5.0"
"DEV-H322","Using Page Inspector in Microsoft Visual Studio 2012"
"DEV-H323","Using Portable Class Libraries"
"DEV-H324","Using the New App Model in Microsoft SharePoint 2013 and Microsoft Office 2013"
"DEV-H325","What???s New in the Microsoft .NET Framework 4.5"
"DEV-H326","What???s New in Windows Communication Foundation 4.5"
"DEV-H327","What's New in ASP.NET and Web Development in Microsoft Visual Studio 2012"
"DEV-H328","What's New in Microsoft ASP.NET MVC 4"
"DEV-H329","What's New in Microsoft ASP.NET Web Forms 4.5"
"DEV-H330","What's New in Microsoft Visual Studio 2012 for C++ Developers"
"DEV-IL201","Get Started with Team Foundation Service (repeats on 6 27 at 17 00)"
